,Player,Tm,TRB,AST,STL,BLK,PTS
128,Malcolm Delaney,ATL,124,193,39,1,391
129,Matthew Dellavedova,MIL,147,357,53,0,577
130,Luol Deng,LAL,295,74,48,20,425
131,DeMar DeRozan,TOR,386,290,78,13,2020
132,Cheick Diallo,NOP,73,4,4,7,87
133,Boris Diaw,UTA,158,170,18,9,338
134,Gorgui Dieng,MIN,647,158,88,95,816
135,Spencer Dinwiddie,BRK,164,185,44,23,432
136,Toney Douglas,MEM,61,56,18,5,117
137,Goran Dragic,MIA,278,423,89,13,1483
138,Andre Drummond,DET,1116,89,124,89,1105
139,Jared Dudley,PHO,225,121,42,16,434
140,Mike Dunleavy,TOT,115,50,15,7,275
141,Mike Dunleavy,CLE,47,20,6,2,106
142,Mike Dunleavy,ATL,68,30,9,5,169
143,Kris Dunn,MIN,166,188,78,36,293
144,Kevin Durant,GSW,513,300,66,99,1555
145,Jarell Eddie,PHO,7,0,1,0,24
146,Henry Ellenson,DET,41,7,1,1,60
147,Wayne Ellington,MIA,133,70,35,4,648
148,Monta Ellis,IND,204,236,79,27,630
149,Joel Embiid,PHI,243,66,27,76,627
150,James Ennis,MEM,259,64,46,19,429
151,Tyler Ennis,TOT,46,86,26,2,228
152,Tyler Ennis,HOU,19,34,6,0,58
153,Tyler Ennis,LAL,27,52,20,2,170
154,Tyreke Evans,TOT,137,124,35,9,411
155,Tyreke Evans,NOP,86,91,23,4,248
156,Tyreke Evans,SAC,51,33,12,5,163
157,Dante Exum,UTA,132,112,21,12,412
158,Kenneth Faried,DEN,461,55,43,40,587
159,Jordan Farmar,SAC,3,9,2,0,12
160,Derrick Favors,UTA,305,56,45,40,476
161,Kay Felder,CLE,41,58,18,7,166
162,Cristiano Felicio,CHI,311,40,25,16,316
163,Raymond Felton,LAC,217,191,67,22,538
164,Yogi Ferrell,TOT,111,172,42,9,462
165,Yogi Ferrell,BRK,12,17,2,2,54
166,Yogi Ferrell,DAL,99,155,40,7,408
167,Dorian Finney-Smith,DAL,221,67,52,25,350
168,Bryn Forbes,SAS,23,23,1,0,94
169,Evan Fournier,ORL,209,202,66,4,1167
170,Randy Foye,BRK,155,135,35,9,357
171,Tim Frazier,NOP,173,335,56,6,464
172,Channing Frye,CLE,290,45,33,37,676
173,Danilo Gallinari,DEN,326,135,40,15,1145
174,Langston Galloway,TOT,156,93,46,6,585
175,Langston Galloway,NOP,121,65,40,5,471
