,Player,Tm,TRB,AST,STL,BLK,PTS
559,Russell Westbrook,OKC,864,840,133,31,2558
560,Okaro White,MIA,82,21,10,10,98
561,Isaiah Whitehead,BRK,184,192,42,36,543
562,Hassan Whiteside,MIA,1088,57,56,161,1309
563,Andrew Wiggins,MIN,329,189,82,30,1933
564,C.J. Wilcox,ORL,12,12,2,1,21
565,Alan Williams,PHO,292,23,27,32,346
566,Deron Williams,TOT,147,360,31,8,701
567,Deron Williams,DAL,102,274,25,2,522
568,Deron Williams,CLE,45,86,6,6,179
569,Derrick Williams,TOT,130,28,14,7,304
570,Derrick Williams,MIA,73,14,9,5,148
571,Derrick Williams,CLE,57,14,5,2,156
572,Lou Williams,TOT,202,239,80,19,1421
573,Lou Williams,LAL,132,183,65,10,1078
574,Lou Williams,HOU,70,56,15,9,343
575,Marvin Williams,CHO,498,106,58,53,849
576,Reggie Williams,NOP,6,4,3,0,27
577,Troy Williams,TOT,69,25,27,10,185
578,Troy Williams,MEM,45,19,24,9,127
579,Troy Williams,HOU,24,6,3,1,58
580,Kyle Wiltjer,HOU,10,2,3,1,13
581,Justise Winslow,MIA,94,66,27,6,196
582,Jeff Withey,UTA,121,7,16,32,146
583,Christian Wood,CHO,29,2,3,6,35
584,Metta World,LAL,20,11,9,2,57
585,Brandan Wright,MEM,78,15,11,20,189
586,Delon Wright,TOR,48,57,27,11,150
587,James Young,BOS,26,4,10,2,68
588,Joe Young,IND,17,15,4,0,68
589,Nick Young,LAL,137,58,37,14,791
590,Thaddeus Young,IND,449,122,114,30,814
591,Cody Zeller,CHO,405,99,62,58,639
592,Tyler Zeller,BOS,124,42,7,21,178
593,Stephen Zimmerman,ORL,35,4,2,5,23
594,Paul Zipser,CHI,125,36,15,16,240
595,Ivica Zubac,LAL,159,30,14,33,284
