559,2558
211,2356
517,2199
123,2099
530,2061
326,2024
131,2020
121,1999
270,1954
111,1942
563,1933
319,1888
348,1837
20,1832
550,1830
80,1816
265,1816
551,1805
42,1779
183,1775
522,1742
63,1726
21,1659
226,1601
144,1555
331,1539
112,1528
32,1518
137,1483
178,1446
572,1421
106,1415
480,1414
55,1390
334,1344
219,1321
207,1316
562,1309
513,1254
372,1246
9,1243
285,1221
195,1217
102,1205
445,1196
255,1173
456,1173
535,1173
169,1167
38,1164
467,1154
173,1145
210,1143
333,1142
190,1137
97,1117
56,1113
138,1105
376,1105
427,1104
546,1096
548,1096
573,1078
443,1075
259,1071
415,1067
377,1063
85,1047
432,1046
478,1040
297,1033
243,1029
294,1029
455,1028
422,1025
194,1019
116,1008
250,1002
283,1002
118,999
343,986
475,984
19,979
280,975
454,975
539,959
248,952
374,951
553,951
23,936
300,919
5,905
104,900
120,898
65,894
313,889
460,889
196,883
296,874
235,866
114,864
468,858
216,851
575,849
186,846
256,846
115,845
436,842
332,839
472,836
316,835
493,835
239,829
36,820
87,818
134,816
368,815
590,814
386,811
41,801
179,792
589,791
261,786
57,783
45,780
203,776
212,773
384,772
404,769
69,767
321,767
370,759
494,758
500,756
98,753
269,752
247,748
373,744
299,743
264,740
295,740
549,729
281,715
498,711
64,709
566,701
375,700
205,689
392,687
497,683
314,681
302,678
416,678
172,676
245,675
227,662
405,662
147,648
11,643
51,639
187,639
591,639
88,638
206,638
423,638
447,636
148,630
523,630
244,629
149,627
26,616
318,613
95,611
238,609
308,603
383,603
437,597
301,595
356,592
414,590
158,587
230,587
89,586
534,586
174,585
290,584
291,584
263,581
129,577
274,577
317,576
258,574
489,567
241,563
180,562
246,559
469,559
349,556
122,551
561,543
531,540
458,539
163,538
466,538
271,535
12,532
15,532
465,530
44,528
33,527
101,527
214,527
327,523
461,522
567,522
278,520
189,517
446,516
6,515
75,515
515,506
127,504
419,501
202,497
360,497
275,496
412,496
361,495
236,488
344,484
52,483
491,483
476,479
160,476
359,472
175,471
305,470
322,468
171,464
164,462
526,461
514,451
388,449
272,448
357,447
336,445
399,445
426,445
483,444
537,444
208,442
337,440
198,437
215,437
444,437
119,435
387,435
139,434
135,432
338,430
150,429
217,428
367,426
420,426
130,425
221,425
306,425
200,421
496,420
30,419
463,419
113,414
34,413
157,412
154,411
471,410
166,408
1,406
53,403
320,401
382,401
532,401
96,397
228,392
128,391
328,389
126,387
54,383
31,381
237,378
310,375
457,374
304,373
66,371
201,370
40,365
406,358
170,357
495,351
167,350
565,346
574,343
282,339
133,338
223,337
552,335
58,330
16,329
257,327
364,327
545,327
27,324
70,322
231,317
162,316
558,316
488,312
516,307
229,305
303,305
407,304
569,304
50,303
277,299
470,299
90,297
143,293
37,292
540,291
307,289
311,286
78,285
595,284
79,283
346,282
507,281
554,281
140,275
518,275
378,271
262,270
117,267
24,262
204,262
253,257
400,257
224,254
402,253
155,248
18,246
438,245
67,242
464,241
594,240
398,232
487,232
379,230
490,229
151,228
536,227
340,226
2,222
232,221
524,219
389,218
233,217
28,215
365,213
424,210
4,209
293,209
7,207
188,207
353,206
519,205
17,203
125,200
474,197
581,196
341,191
585,189
401,188
91,186
284,186
577,185
481,184
100,183
86,181
568,179
592,178
10,177
339,173
520,171
153,170
142,169
288,168
161,166
342,165
442,165
156,163
362,161
429,160
571,156
479,154
323,152
76,150
381,150
586,150
329,148
570,148
345,147
47,146
582,146
358,145
324,144
462,142
544,142
77,141
82,141
533,139
451,137
330,135
289,132
385,130
68,129
92,129
242,127
578,127
355,126
421,124
547,124
501,122
408,120
136,117
48,115
35,114
176,114
439,113
191,110
363,107
541,107
29,106
141,106
185,106
430,106
8,105
46,101
393,100
395,100
107,98
390,98
560,98
193,95
453,95
168,94
347,90
312,89
492,88
132,87
14,86
25,85
43,83
225,83
440,82
473,82
276,81
434,81
83,80
354,80
59,79
60,79
108,79
459,79
315,78
484,71
396,70
587,68
588,68
448,64
251,63
428,63
74,62
555,62
84,61
146,60
99,59
309,59
124,58
152,58
502,58
579,58
197,57
584,57
486,55
165,54
431,54
110,52
557,50
209,48
94,45
482,45
71,43
103,43
504,43
452,42
380,41
435,40
538,40
499,39
366,38
409,38
508,37
350,36
268,35
351,35
583,35
72,34
521,34
39,33
105,33
222,31
441,31
450,31
397,30
13,28
369,28
109,27
576,27
22,25
298,25
145,24
413,24
593,23
62,22
394,21
503,21
564,21
410,20
433,20
287,19
411,18
542,18
199,16
485,16
192,15
260,15
81,14
184,14
252,14
418,14
449,14
3,13
580,13
93,12
159,12
213,12
240,12
556,12
182,11
527,11
529,11
267,10
506,10
73,9
286,9
425,9
218,8
325,8
509,8
273,7
543,7
266,6
511,6
403,5
181,4
234,4
279,4
391,4
417,4
477,4
371,3
505,3
512,3
335,2
510,2
525,2
220,1
352,1
49,0
61,0
177,0
249,0
254,0
292,0
528,0
